character,radicals
嘴,口 ;止 ;匕 ;角 
参,厶 ;大 ;彡 
加,力 ;口 
办,力 ;八 
法,氵 ;土 ;厶 
选,辶 ;⺧ ;儿 
择,扌 ;又 ;二 ;丨 
坏,土 ;一 ;丿 ;卜 
算,⺮ ;目 ;艹 
特,牛 ;土 ;寸 
注,氵 ;王 ;丶 
实,宀 ;大 ;⺀ 
久,勹 ;㇏ 
讲,讠 ;No glyph available ;二 
故,十 ;口 ;⺙ 
换,扌 ;⺈ ;大 ;冂 
婚,女 ;氏 ;日 
段,丨 ;No glyph available ;殳 
努,女 ;又 ;力 
力,力 
害,宀 ;一 ;二 ;丨 ;口 
怕,忄 ;白 
刚,冂 ;乂 ;刂 
节,艹 ;㇆ ;丨 
目,目 
辆,车 ;一 ;从 ;冂 
万,一 ;丿 ;㇆ 
奇,大 ;一 ;亅 ;口 
怪,忄 ;又 ;土 
戏,又 ;戈 
声,士 ;丨 ;No glyph available ;丨 
音,音 
成,一 ;丿 ;㇆ ;戈 
半,二 ;丨 ;丷 
求,𠂇 ;丶 ;氺 
除,阝 ;人 ;干 ;小 
容,宀 ;谷 
易,日 ;勹 ;No glyph available 
脸,月 ;人 ;一 ;⺍ ;一 
简,⺮ ;门 ;日 
单,丷 ;冂 ;二 ;丨 ;十 
检,木 ;人 ;一 ;⺍ ;一 
查,木 ;日 ;一 
越,走 ;匚 ;戈 
顾,厂 ;乚 ;㇆ ;页 
聪,耳 ;丷 ;口 ;心 
甜,舌 ;甘 
突,穴 ;犬 
终,纟 ;夂 ;⺀ 
船,舟 ;几 ;口 
口,口 
答,⺮ ;人 ;一 ;口 
礼,礻 ;乚 
物,牛 ;勹 ;No glyph available 
头,大 ;⺀ 
脚,月 ;土 ;厶 ;卩 
哭,吅 ;犬 
画,一 ;田 ;凵 
轻,车 ;龴 ;工 
包,勹 ;巳 
腿,月 ;辶 ;艮 
忘,匸 ;丶 ;心 
搬,扌 ;舟 ;殳 
楼,木 ;米 ;女 
遇,辶 ;冂 ;二 ;丨 ;禸 
闻,门 ;耳 
较,车 ;亠 ;八 ;乂 
双,双 
城,土 ;一 ;丿 ;㇆ ;戈 
市,亠 ;巾 
附,阝 ;亻 ;寸 
借,亻 ;艹 ;一 ;日 
响,口 ;宀 ;口 
差,羊 ;工 
银,钅 ;艮 
行,行 
安,宀 ;女 
静,青 ;⺈ ;⺕ ;亅 
饿,饣 ;手 ;戈 
根,木 ;艮 
据,扌 ;尸 ;十 ;口 
乎,㇒ ;𠂇 ;丷 
舒,人 ;干 ;口 ;龴 ;㇖ ;亅 
般,舟 ;殳 
叔,⺊ ;一 ;小 ;又 
疼,疒 ;夂 ;⺀ 
迟,辶 ;尸 ;㇏ 
历,厂 ;力 
史,口 ;丨 ;乂 
啤,口 ;冂 ;二 ;丨 ;丶 ;十 
酒,氵 ;酉 
短,矢 ;豆 
周,田 ;口 
末,木 ;一 
惯,忄 ;囗 ;十 ;贝 
园,囗 ;二 ;儿 
干,干 
净,冫 ;⺈ ;⺕ ;亅 
鸟,鸟 
健,亻 ;廴 ;聿 
康,广 ;隶 
树,木 ;又 ;寸 
糕,米 ;羊 ;灬 
元,二 ;儿 
议,讠 ;乂 ;丶 
裤,衤 ;广 ;车 
邻,人 ;丶 ;龴 ;阝 
居,尸 ;十 ;口 
理,王 ;里 
