character,radicals
谊,讠 ;宀 ;月 ;一 
脾,月 ;冂 ;二 ;丨 ;丶 ;十 
价,亻 ;人 ;No glyph available 
性,忄 ;生 
鼓,鼓 
励,厂 ;一 ;丿 ;㇆ ;力 
及,㇎ ;丿 ;㇏ 
迷,辶 ;米 
棵,木 ;田 ;木 
资,冫 ;欠 ;贝 
散,艹 ;一 ;月 ;⺙ 
奖,丬 ;夕 ;大 
幽,山 ;𢆶 
默,黑 ;犬 
孙,子 ;小 
汗,氵 ;干 
入,入 
酸,酉 ;厶 ;八 ;夂 
羞,羊 ;刀 ;二 
基,甘 ;一 ;八 ;土 
础,石 ;出 
积,禾 ;口 ;八 
富,宀 ;一 ;口 ;田 
袜,衤 ;木 ;一 
恼,忄 ;亠 ;凵 ;乂 
修,亻 ;丨 ;⺙ ;彡 
减,冫 ;厂 ;戈 ;一 ;口 
戚,厂 ;戈 ;⺊ ;一 ;小 
丰,一 ;二 ;丨 
汁,氵 ;十 
巾,巾 
海,氵 ;丿 ;一 ;母 
洋,氵 ;羊 
批,扌 ;比 
评,讠 ;干 ;丷 
队,阝 ;人 
例,亻 ;歹 ;刂 
植,木 ;十 ;目 ;一 
穷,穴 ;力 
具,目 ;一 ;八 
盐,土 ;卜 ;皿 
温,氵 ;日 ;皿 
逛,辶 ;犭 ;王 
厚,厂 ;日 ;子 
亚,一 ;No glyph available ;丷 ;一 
洲,氵 ;州 
傅,亻 ;十 ;用 ;丶 ;寸 
污,氵 ;二 ;㇉ 
染,氵 ;丿 ;㇈ ;木 
肥,月 ;丨 ;No glyph available ;丨 ;乚 
缺,缶 ;No glyph available ;丨 ;人 
虎,虍 ;几 
云,二 ;厶 
质,⺁ ;十 ;贝 
卫,㇆ ;丨 ;一 
招,扌 ;刀 ;口 
呼,口 ;㇒ ;𠂇 ;丷 
阅,门 ;丷 ;口 ;儿 
封,圭 ;寸 
序,广 ;龴 ;㇖ ;亅 
暑,日 ;耂 ;日 
乘,禾 ;北 
油,氵 ;二 ;丨 ;凵 
羡,羊 ;冫 ;欠 
慕,艹 ;日 ;大 ;丨 ;㇒ ;No glyph available 
暖,日 ;爫 ;干 ;又 
懒,忄 ;木 ;口 ;⺈ ;贝 
民,巳 ;㇂ ;一 
族,方 ;丿 ;一 ;矢 
传,亻 ;二 ;丨 ;龴 
垃,土 ;立 
圾,土 ;㇎ ;丿 ;㇏ 
桶,木 ;龴 ;用 
葡,艹 ;勹 ;十 ;用 ;丶 
萄,艹 ;勹 ;缶 
景,日 ;亠 ;口 ;小 
闹,门 ;亠 ;巾 
郊,亠 ;八 ;乂 ;阝 
咳,口 ;亠 ;丨 ;㇙ ;人 
嗽,口 ;木 ;口 ;欠 
签,⺮ ;人 ;一 ;⺍ ;一 
咸,厂 ;戈 ;一 ;口 
泼,氵 ;㇗ ;丨 ;丶 ;又 
局,尸 ;㇆ ;口 
膏,亠 ;口 ;冖 ;口 ;月 
勺,勹 ;丶 
付,亻 ;寸 
款,士 ;示 ;欠 
扬,扌 ;㇎ ;No glyph available 
针,钅 ;十 
普,丷 ;一 ;No glyph available ;丷 ;一 ;日 
堵,土 ;耂 ;日 
叶,口 ;十 
折,扌 ;斤 
列,歹 ;刂 
凉,冫 ;亠 ;口 ;小 
塑,丷 ;一 ;屮 ;月 ;土 
袋,亻 ;弋 ;衣 
导,巳 ;寸 
柿,木 ;亠 ;巾 
聘,耳 ;二 ;丨 ;凵 ;一 ;㇉ 
硕,石 ;页 
乒,斤 ;一 ;丿 
乓,斤 ;一 ;丶 
橡,木 ;⺈ ;口 ;丨 ;勹 ;No glyph available ;No glyph available 
矿,石 ;广 
泉,白 ;水 
拜,龵 ;一 ;一 ;二 ;丨 
饺,饣 ;亠 ;八 ;乂 
籍,⺮ ;耒 ;艹 ;一 ;日 
售,隹 ;口 
货,亻 ;匕 ;贝 
翻,釆 ;田 ;羽 
译,讠 ;又 ;二 ;丨 
粗,米 ;月 ;一 
养,羊 ;八 ;No glyph available 
登,癶 ;豆 
牌,片 ;冂 ;二 ;丨 ;丶 ;十 
占,⺊ ;口 
线,纟 ;戋 
羽,羽 
烤,火 ;耂 ;一 ;㇉ 
鸭,冂 ;二 ;丨 ;鸟 
寒,宀 ;No glyph available ;二 ;一 ;八 ;⺀ 
江,氵 ;工 
预,龴 ;㇖ ;亅 ;页 
填,土 ;十 ;目 ;一 ;八 
剧,尸 ;十 ;口 ;刂 
嗯,口 ;囗 ;大 ;心 
杀,乂 ;十 ;小 
搞,扌 ;高 
宝,宀 ;玉 
贝,贝 
枪,木 ;人 ;乚 ;㇆ 
兄,口 ;儿 
抓,扌 ;爪 
救,𠂇 ;丶 ;氺 ;⺙ 
唯,口 ;隹 
拍,扌 ;白 
呆,口 ;木 
派,氵 ;⺁ ;匚 ;No glyph available 
靠,⺧ ;口 ;非 
曾,丷 ;口 ;丨 ;丷 ;日 
统,纟 ;亠 ;厶 ;儿 
控,扌 ;穴 ;工 
制,牛 ;巾 ;刂 
偷,亻 ;人 ;一 ;月 ;刂 
哈,口 ;人 ;一 ;口 
糟,米 ;艹 ;No glyph available ;二 ;凵 ;日 
庭,广 ;廴 ;㇒ ;士 
装,丬 ;士 ;衣 
秘,禾 ;心 ;丿 
血,血 
瞧,目 ;隹 ;灬 
疯,疒 ;风 
狂,犭 ;王 
录,彐 ;氺 
傻,亻 ;囗 ;丶 ;乂 ;八 ;夂 
阻,阝 ;月 ;一 
神,礻 ;日 ;丨 
碰,石 ;丷 ;一 ;No glyph available ;丷 ;一 
滚,氵 ;衣 ;八 ;厶 
类,米 ;大 
冲,冫 ;口 ;丨 
套,大 ;镸 
姑,女 ;十 ;口 
娘,女 ;艮 ;丶 
痛,疒 ;龴 ;用 
组,纟 ;月 ;一 
代,亻 ;弋 
义,乂 ;丶 
承,㇖ ;水 ;一 ;二 
显,日 ;No glyph available ;丷 ;一 
政,一 ;止 ;⺙ 
府,广 ;亻 ;寸 
未,木 ;一 
吓,口 ;一 ;卜 
治,氵 ;厶 ;口 
疗,疒 ;㇇ ;亅 
织,纟 ;口 ;八 
婆,氵 ;皮 ;女 
置,罒 ;十 ;目 ;一 
撞,扌 ;立 ;里 
似,亻 ;乚 ;丶 ;人 
令,人 ;丶 ;龴 
威,厂 ;戈 ;一 ;女 
胁,月 ;力 ;八 
享,亠 ;口 ;子 
战,⺊ ;口 ;戈 
恭,艹 ;一 ;八 ;丨 ;㇒ ;No glyph available 
恨,忄 ;艮 
训,讠 ;川 
模,木 ;艹 ;日 ;大 
旦,日 ;一 
追,辶 ;㠯 ;丶 
群,⺕ ;丨 ;口 ;羊 
雷,雨 ;田 
夜,亠 ;亻 ;夂 ;丶 
属,尸 ;㇒ ;虫 ;冂 
锁,钅 ;⺌ ;贝 
英,艹 ;大 ;冂 
雄,𠂇 ;厶 ;隹 
吻,口 ;勹 ;No glyph available 
逃,辶 ;儿 ;冫 ;No glyph available 
寓,宀 ;冂 ;二 ;丨 ;禸 
寻,彐 ;寸 
烂,火 ;丷 ;一 ;二 
欠,欠 
食,食 
遗,辶 ;口 ;丨 ;一 ;贝 
憾,忄 ;厂 ;戈 ;一 ;口 ;心 
设,讠 ;殳 
醉,酉 ;亠 ;从 ;十 
私,禾 ;厶 
某,甘 ;木 
伟,亻 ;韦 
臭,自 ;犬 
颗,田 ;木 ;页 
朝,十 ;日 ;十 ;月 
顿,十 ;屮 ;乚 ;页 
括,扌 ;舌 
堆,土 ;隹 
俱,亻 ;目 ;一 ;八 
咬,口 ;亠 ;八 ;乂 
造,辶 ;⺧ ;口 
充,亠 ;厶 ;儿 
抢,扌 ;人 ;乚 ;㇆ 
恢,忄 ;𠂇 ;火 
孕,㇎ ;丿 ;子 
姻,女 ;囗 ;大 
圈,囗 ;二 ;丨 ;丷 ;八 ;乚 ;㇆ 
项,工 ;页 
吵,口 ;小 ;丿 
权,木 ;又 
冠,冖 ;二 ;儿 ;寸 
军,冖 ;车 
敌,舌 ;⺙ 
背,北 ;月 
猪,犭 ;耂 ;日 
嫁,女 ;宀 ;豕 
挑,扌 ;儿 ;冫 ;No glyph available 
状,丬 ;犬 
彼,彳 ;皮 
达,辶 ;大 
立,立 
吐,口 ;土 
待,彳 ;土 ;寸 
庆,广 ;大 
吹,口 ;欠 
王,王 
集,隹 ;木 
胜,月 ;生 
官,宀 ;㠯 
独,犭 ;虫 
器,㗊 ;犬 
墙,土 ;土 ;丷 ;回 
彻,彳 ;乚 ;一 ;刀 
摆,扌 ;罒 ;土 ;厶 
殊,歹 ;木 ;一 ;㇒ 
兵,兵 
屋,尸 ;至 
退,辶 ;艮 
戒,戈 ;艹 
洞,氵 ;冂 ;一 ;口 
品,品 
产,立 ;厂 
布,𠂇 ;巾 
触,角 ;虫 
矩,矢 ;匚 ;No glyph available 
析,木 ;斤 
致,至 ;⺙ 
宣,宀 ;一 ;日 ;一 
炸,火 ;丿 ;一 ;丨 ;二 
念,人 ;丶 ;㇇ ;心 
炒,火 ;小 ;丿 
绪,纟 ;耂 ;日 
创,人 ;乚 ;㇆ ;刂 
范,艹 ;氵 ;乚 ;㇆ 
称,禾 ;⺈ ;小 
石,石 
顶,一 ;亅 ;页 
喊,口 ;厂 ;戈 ;一 ;口 
迹,辶 ;亠 ;丨 ;亅 ;八 
媒,女 ;甘 ;木 
匹,匚 ;儿 
谓,讠 ;田 ;月 
辈,非 ;车 
巨,匚 ;No glyph available 
刺,木 ;冂 ;刂 
凭,亻 ;㇒ ;士 ;几 
废,广 ;㇗ ;丨 ;丶 ;又 
掌,⺌ ;冖 ;口 ;手 
握,扌 ;尸 ;至 
脖,月 ;十 ;冖 ;子 
欣,斤 ;欠 
赏,⺌ ;冖 ;口 ;贝 
鼠,鼠 
龙,龙 
盖,羊 ;皿 
移,禾 ;多 
滑,氵 ;骨 
摸,扌 ;艹 ;日 ;大 
闭,门 ;𠂇 ;㇒ 
幻,幺 ;㇆ 
甩,甩 
伴,亻 ;二 ;丨 ;丷 
插,扌 ;㇒ ;十 ;臼 
碎,石 ;亠 ;从 ;十 
稳,禾 ;⺈ ;彐 ;心 
敬,艹 ;勹 ;口 ;⺙ 
玻,王 ;皮 
璃,王 ;亠 ;凵 ;乂 ;禸 
强,弓 ;口 ;虫 
砍,石 ;欠 
土,土 
怨,夕 ;乚 ;㇆ ;心 
尚,⺌ ;冂 ;口 
毒,龶 ;母 
硬,石 ;一 ;日 ;丨 ;乂 
娶,耳 ;又 ;女 
投,扌 ;殳 
魅,鬼 ;木 ;一 
恋,亠 ;丨 ;亅 ;八 ;心 
团,囗 ;𠂇 ;㇒ 
筑,⺮ ;工 ;几 ;丶 
损,扌 ;口 ;贝 
豪,亠 ;口 ;冖 ;豕 
幅,巾 ;一 ;口 ;田 
骨,骨 
踩,⻊ ;爫 ;木 
胸,月 ;勹 ;凵 ;乂 
蛇,虫 ;宀 ;匕 
乖,㇒ ;十 ;北 
姿,冫 ;欠 ;女 
势,扌 ;丿 ;㇈ ;丶 ;力 
瞎,目 ;宀 ;一 ;二 ;丨 ;口 
卧,臣 ;卜 
哎,口 ;艹 ;乂 
辞,舌 ;辛 
搜,扌 ;臼 ;丨 ;又 
索,十 ;冖 ;糸 
厂,厂 
络,纟 ;夂 ;口 
晕,日 ;冖 ;车 
拥,扌 ;用 
领,人 ;丶 ;龴 ;页 
齿,齿 
绕,纟 ;No glyph available ;一 ;儿 
驾,力 ;口 ;马 
驶,马 ;口 ;丨 ;乂 
财,贝 ;𠂇 ;㇒ 
架,力 ;口 ;木 
欧,匚 ;乂 ;欠 
挡,扌 ;⺌ ;彐 
避,辶 ;尸 ;口 ;辛 
捡,扌 ;人 ;一 ;⺍ ;一 
猴,犭 ;亻 ;No glyph available ;矢 
采,爫 ;木 
型,一 ;廾 ;刂 ;土 
升,艹 ;㇒ 
暗,日 ;音 
胡,十 ;口 ;月 
挥,扌 ;冖 ;车 
丑,刀 ;二 
依,亻 ;衣 
蹲,⻊ ;丷 ;酉 ;寸 
滴,氵 ;亠 ;丷 ;欠 ;子 
临,丨 ;丨 ;丿 ;一 ;丶 ;口 ;丨 
诗,讠 ;土 ;寸 
唉,口 ;厶 ;矢 
仿,亻 ;方 
访,讠 ;方 
烈,歹 ;刂 ;灬 
挣,扌 ;⺈ ;⺕ ;亅 
阶,阝 ;人 ;No glyph available 
违,辶 ;韦 
频,止 ;小 ;丿 ;页 
射,身 ;寸 
击,二 ;丨 ;山 
伸,亻 ;日 ;丨 
形,一 ;廾 ;彡 
兔,⺈ ;口 ;丨 ;乚 ;丶 
绳,纟 ;黾 
霉,雨 ;丿 ;一 ;母 
劲,龴 ;工 ;力 
德,彳 ;𢛳 
慰,尸 ;示 ;寸 ;心 
肌,月 ;几 
娱,女 ;口 ;一 ;大 
睁,目 ;⺈ ;⺕ ;亅 
趁,走 ;人 ;彡 
敏,丿 ;一 ;母 ;⺙ 
遵,辶 ;丷 ;酉 ;寸 
守,宀 ;寸 
煮,耂 ;日 ;灬 
拆,扌 ;斤 ;丶 
骂,吅 ;马 
讽,讠 ;风 
圆,囗 ;口 ;贝 
沉,氵 ;冖 ;几 
肃,⺺ ;No glyph available ;小 
配,酉 ;己 
逗,辶 ;豆 
摇,扌 ;爫 ;缶 
肩,户 ;月 
膀,月 ;亠 ;丷 ;冖 ;方 
隔,阝 ;鬲 
壁,尸 ;口 ;辛 ;土 
漠,氵 ;艹 ;日 ;大 
亿,亻 ;㇠ 
营,艹 ;冖 ;吕 
席,广 ;廿 ;巾 
链,钅 ;辶 ;车 
劝,又 ;力 
玉,玉 
灰,𠂇 ;火 
宠,宀 ;龙 
限,阝 ;艮 
烫,氵 ;㇎ ;No glyph available ;火 
善,羊 ;丷 ;一 ;口 
良,艮 ;丶 
智,矢 ;口 ;日 
慧,No glyph available ;彐 ;心 
漏,氵 ;尸 ;雨 
氛,气 ;八 ;刀 
编,纟 ;户 ;冂 ;艹 
辑,车 ;口 ;耳 
柔,矛 ;木 
益,丷 ;一 ;八 ;皿 
询,讠 ;勹 ;日 
捐,扌 ;口 ;月 
销,钅 ;⺌ ;月 
衡,行 ;⺈ ;田 ;大 
措,扌 ;艹 ;一 ;日 
施,方 ;丿 ;一 ;乚 ;㇆ ;丨 
胃,田 ;月 
裹,衣 ;田 ;木 
妇,女 ;彐 
毯,毛 ;炎 
宴,宀 ;日 ;女 
替,㚘 ;日 
脆,月 ;⺈ ;厂 ;乚 ;㇆ 
版,片 ;⺁ ;又 
乏,㇒ ;王 ;丶 ;戈 ;㇝ 
蜜,宀 ;心 ;丿 ;虫 
蜂,虫 ;夂 ;一 ;二 ;丨 
夸,大 ;二 ;㇉ 
荐,艹 ;𠂇 ;亻 ;子 
撕,扌 ;甘 ;一 ;八 ;斤 
糊,米 ;十 ;口 ;月 
涂,氵 ;人 ;干 ;小 
咨,冫 ;欠 ;口 
燃,火 ;月 ;犬 ;灬 
华,亻 ;匕 ;十 
青,青 
软,车 ;欠 
扶,扌 ;人 ;二 
闯,门 ;马 
闪,门 ;人 
摄,扌 ;耳 ;双 
库,广 ;车 
滩,氵 ;又 ;隹 
赞,兟 ;贝 
摩,麻 ;手 
托,扌 ;㇒ ;乚 ;一 
矛,矛 
盾,⺁ ;十 ;目 
域,土 ;戈 ;口 ;一 
池,氵 ;乚 ;㇆ ;丨 
乡,No glyph available ;丿 
迅,辶 ;㇠ ;十 
途,辶 ;人 ;干 ;小 
弱,弱 
妨,女 ;方 
碍,石 ;日 ;一 ;寸 
饰,饣 ;丿 ;一 ;巾 
诊,讠 ;人 ;彡 
源,氵 ;厂 ;白 ;小 
腰,月 ;西 ;女 
贷,亻 ;弋 ;贝 
胆,月 ;日 ;一 
鬼,鬼 
钓,钅 ;勹 ;丶 
震,雨 ;辰 
初,衤 ;刀 
摘,扌 ;亠 ;丷 ;欠 ;子 
贡,工 ;贝 
献,十 ;冂 ;丷 ;干 ;犬 
账,贝 ;长 
股,月 ;殳 
执,扌 ;丿 ;㇈ ;丶 
沟,氵 ;勹 ;厶 
披,扌 ;皮 
寂,宀 ;⺊ ;一 ;小 ;又 
寞,宀 ;艹 ;日 ;大 
亏,二 ;㇉ 
固,囗 ;十 ;口 
册,册 
俊,亻 ;厶 ;八 ;夂 
木,木 
陌,阝 ;一 ;白 
余,人 ;干 ;小 
歪,一 ;丿 ;卜 ;一 ;止 
歇,曰 ;勹 ;人 ;㇗ ;欠 
谨,讠 ;廿 ;口 ;丨 ;王 
慎,忄 ;十 ;目 ;一 ;八 
甲,冂 ;二 ;丨 
犹,犭 ;尢 ;丶 
豫,龴 ;㇖ ;亅 ;⺈ ;口 ;丨 ;勹 ;No glyph available ;No glyph available 
企,人 ;止 
载,土 ;戈 ;车 
狮,犭 ;No glyph available ;一 ;巾 
征,彳 ;一 ;止 
忍,刀 ;丶 ;心 
冻,冫 ;乚 ;一 ;小 
晒,日 ;西 
素,龶 ;糸 
操,扌 ;品 ;木 
雾,雨 ;夂 ;力 
豆,豆 
翅,支 ;羽 
肠,月 ;㇎ ;No glyph available 
届,尸 ;二 ;丨 ;凵 
宽,宀 ;艹 ;见 
蝴,虫 ;十 ;口 ;月 
蝶,虫 ;㇗ ;廿 ;木 
裁,土 ;戈 ;衣 
尾,尸 ;毛 
巴,丨 ;No glyph available ;丨 ;乚 
屉,尸 ;㇗ ;廿 
剪,丷 ;一 ;月 ;刂 ;刀 
阵,阝 ;车 
狡,犭 ;亠 ;八 ;乂 
猾,犭 ;骨 
厦,厂 ;一 ;自 ;夂 
构,木 ;勹 ;厶 
洒,氵 ;西 
辩,辡 ;讠 
摔,扌 ;亠 ;幺 ;冫 ;No glyph available ;十 
忽,勹 ;No glyph available ;心 
赔,贝 ;立 ;口 
偿,亻 ;⺌ ;冖 ;二 ;厶 
逻,辶 ;罒 ;夕 
皂,白 ;乚 ;一 
拦,扌 ;丷 ;一 ;二 
逐,辶 ;豕 
渐,氵 ;车 ;斤 
蔬,艹 ;⺪ ;亠 ;厶 ;儿 ;丨 
珍,王 ;人 ;彡 
斗,斗 
培,土 ;立 ;口 
锅,钅 ;口 ;人 ;冂 
秩,禾 ;人 ;二 ;㇒ 
催,亻 ;山 ;隹 
铃,钅 ;人 ;丶 ;龴 
薄,艹 ;氵 ;十 ;用 ;丶 ;寸 
税,禾 ;丷 ;口 ;儿 
宿,宀 ;亻 ;一 ;白 
舍,人 ;干 ;口 
痒,疒 ;羊 
浓,氵 ;巾 ;㇒ ;㇗ ;No glyph available 
佛,亻 ;弓 ;No glyph available 
宁,宀 ;一 ;亅 
桃,木 ;儿 ;冫 ;No glyph available 
耽,耳 ;巾 ;乚 
核,木 ;亠 ;丨 ;㇙ ;人 
维,纟 ;隹 
麦,麦 
补,衤 ;卜 
嘉,士 ;口 ;丷 ;一 ;力 ;口 
浅,氵 ;戋 
抖,扌 ;斗 
贴,贝 ;⺊ ;口 
飘,覀 ;示 ;风 
凌,冫 ;土 ;八 ;夂 
髦,髟 ;毛 
测,氵 ;贝 ;刂 
县,月 ;一 ;厶 
虹,虫 ;工 
均,土 ;勹 ;亠 
劳,艹 ;冖 ;力 
扩,扌 ;广 
纯,纟 ;十 ;屮 ;乚 
润,氵 ;门 ;王 
帘,穴 ;巾 
丝,No glyph available ;一 
毫,亠 ;口 ;冖 ;毛 
椒,木 ;⺊ ;一 ;小 ;又 
涨,氵 ;弓 ;长 
跃,⻊ ;㇒ ;大 
览,丨 ;丨 ;丿 ;一 ;丶 ;见 
删,册 ;刂 
腐,广 ;亻 ;寸 ;肉 
舅,臼 ;田 ;力 
含,人 ;丶 ;㇇ ;口 
农,巾 ;㇒ ;㇗ ;No glyph available 
恶,一 ;No glyph available ;丷 ;一 ;心 
劣,小 ;丿 ;力 
哲,扌 ;斤 ;口 
映,日 ;大 ;冂 
柜,木 ;匚 ;No glyph available 
眉,丨 ;No glyph available ;丨 ;目 
抄,扌 ;小 ;丿 
悄,忄 ;⺌ ;月 
贸,卯 ;贝 
辅,车 ;十 ;用 ;丶 
厢,厂 ;木 ;目 
递,辶 ;丷 ;弓 ;丨 ;㇒ 
浇,氵 ;No glyph available ;一 ;儿 
艰,又 ;艮 
嗓,口 ;叒 ;木 
召,刀 ;口 
佩,亻 ;几 ;一 ;巾 
幼,幺 ;力 
启,户 ;口 
吨,口 ;十 ;屮 ;乚 
盆,八 ;刀 ;皿 
匆,勹 ;No glyph available ;丶 
柴,止 ;匕 ;木 
淡,氵 ;炎 
嫩,女 ;木 ;口 ;⺙ 
综,纟 ;宀 ;示 
古,十 ;口 
壶,士 ;冖 ;No glyph available ;丷 ;一 
延,廴 ;㇒ ;止 
兼,丷 ;一 ;No glyph available ;八 ;⺕ 
岸,山 ;厂 ;干 
订,讠 ;一 ;亅 
率,亠 ;幺 ;冫 ;No glyph available ;十 
防,阝 ;方 
缓,纟 ;爫 ;干 ;又 
闲,门 ;木 
谦,讠 ;丷 ;一 ;No glyph available ;八 ;⺕ 
虚,虍 ;No glyph available ;丷 ;一 
昆,日 ;比 
虫,虫 
泪,氵 ;目 
勿,勹 ;No glyph available 
淘,氵 ;勹 ;缶 
挤,扌 ;齐 
透,辶 ;禾 ;㇎ ;丿 
梨,禾 ;刂 ;木 
灵,彐 ;火 
躲,身 ;几 ;木 
藏,艹 ;爿 ;厂 ;戈 ;臣 
革,革 
档,木 ;⺌ ;彐 
践,⻊ ;戋 
尘,小 ;土 
厘,厂 ;里 
紫,止 ;匕 ;糸 
盼,目 ;八 ;刀 
陆,阝 ;二 ;丨 ;山 
惭,忄 ;车 ;斤 
愧,忄 ;鬼 
浏,氵 ;文 ;刂 
醋,酉 ;艹 ;一 ;日 
胶,月 ;亠 ;八 ;乂 
塘,土 ;广 ;⺺ ;口 
坦,土 ;日 ;一 
疲,疒 ;皮 
齐,齐 
眠,目 ;巳 ;㇂ ;一 
轮,车 ;人 ;匕 
罚,罒 ;讠 ;刂 
糙,米 ;辶 ;⺧ ;口 
叉,又 ;丶 
妙,女 ;小 ;丿 
迫,辶 ;白 
苗,艹 ;田 
熬,龶 ;一 ;丿 ;㇆ ;⺙ ;灬 
描,扌 ;艹 ;田 
绸,纟 ;田 ;口 
汇,氵 ;匚 
骤,马 ;耳 ;又 ;乑 
武,一 ;弋 ;止 
潮,氵 ;十 ;日 ;十 ;月 
湿,氵 ;日 ;No glyph available ;丷 ;一 
悲,非 ;心 
粮,米 ;艮 ;丶 
促,亻 ;足 
叙,人 ;干 ;小 ;又 
述,辶 ;木 ;丶 
燥,火 ;品 ;木 
惠,十 ;日 ;丨 ;No glyph available ;心 
泛,氵 ;㇒ ;王 ;丶 ;戈 ;㇝ 
窄,穴 ;丿 ;一 ;丨 ;二 
斜,人 ;干 ;小 ;斗 
恳,艮 ;心 
乙,乙 
趋,走 ;⺈ ;彐 
繁,丿 ;一 ;母 ;⺙ ;糸 
荣,艹 ;冖 ;木 
慌,忄 ;艹 ;匸 ;丶 ;儿 ;丨 
梳,木 ;亠 ;厶 ;儿 ;丨 
桔,木 ;士 ;口 
姥,女 ;老 
幕,艹 ;日 ;大 ;巾 
勤,廿 ;口 ;丨 ;王 ;力 
棋,木 ;甘 ;一 ;八 
兑,丷 ;口 ;儿 
傍,亻 ;亠 ;丷 ;冖 ;方 
夹,人 ;二 ;丷 
缩,纟 ;宀 ;亻 ;一 ;白 
振,扌 ;辰 
岛,㇆ ;㇉ ;丶 ;丶 ;山 
屿,山 ;No glyph available ;一 
纷,纟 ;八 ;刀 
竹,竹 
朗,丨 ;彐 ;乚 ;丶 ;丶 ;月 
喷,口 ;十 ;艹 ;贝 
嚏,口 ;十 ;冖 ;田 ;疋 
酱,丬 ;夕 ;酉 
悠,亻 ;丨 ;⺙ ;心 
奈,大 ;示 
寿,一 ;二 ;丨 ;寸 
卷,二 ;丨 ;丷 ;八 ;乚 ;㇆ 
委,禾 ;女 
屈,尸 ;出 
村,木 ;寸 
夕,夕 
押,扌 ;冂 ;二 ;丨 
俗,亻 ;谷 
返,辶 ;⺁ ;又 
倡,亻 ;昌 
拐,扌 ;口 ;力 
弯,亠 ;丨 ;亅 ;八 ;弓 
愁,禾 ;火 ;心 
略,田 ;夂 ;口 
匀,勹 ;亠 
艳,一 ;二 ;丨 ;色 
孝,耂 ;子 
灾,宀 ;火 
鞭,革 ;亻 ;一 ;日 ;丨 ;乂 
炮,火 ;勹 ;巳 
馒,饣 ;日 ;罒 ;又 
扇,户 ;羽 
旬,勹 ;日 
煤,火 ;甘 ;木 
炭,山 ;𠂇 ;火 
纲,纟 ;冂 ;乂 
裔,衣 ;冂 ;八 ;口 
粘,米 ;⺊ ;口 
拼,扌 ;丷 ;一 ;廾 
尺,尸 ;㇏ 
归,No glyph available ;彐 
纳,纟 ;人 ;冂 
拳,二 ;丨 ;丷 ;八 ;手 
币,㇒ ;巾 
哦,口 ;手 ;戈 
嘿,口 ;黑 
嗨,口 ;氵 ;丿 ;一 ;母 
嘛,口 ;麻 
啦,口 ;扌 ;立 
哇,口 ;圭 
尸,尸 
监,丨 ;丨 ;丿 ;一 ;丶 ;皿 
狱,犭 ;讠 ;犬 
啥,口 ;人 ;干 ;口 
亡,匸 ;丶 
凶,凵 ;乂 
屁,尸 ;比 
撒,扌 ;艹 ;一 ;月 ;⺙ 
谎,讠 ;艹 ;匸 ;丶 ;儿 ;丨 
誓,扌 ;斤 ;言 
砸,石 ;匚 ;巾 
踪,⻊ ;宀 ;示 
怖,忄 ;𠂇 ;巾 
蹈,⻊ ;爫 ;臼 
副,一 ;口 ;田 ;刂 
攻,工 ;⺙ 
汰,氵 ;大 ;丶 
袭,龙 ;衣 
魂,二 ;厶 ;鬼 
爆,火 ;日 ;艹 ;一 ;八 ;水 
盯,目 ;一 ;亅 
愚,冂 ;二 ;丨 ;禸 ;心 
蠢,一 ;二 ;丨 ;八 ;日 ;䖵 
绑,纟 ;一 ;二 ;丨 ;阝 
州,州 
逮,辶 ;隶 
捕,扌 ;十 ;用 ;丶 
搭,扌 ;艹 ;人 ;一 ;口 
伍,亻 ;一 ;力 ;一 
侦,亻 ;⺊ ;贝 
探,扌 ;⺳ ;木 
耍,而 ;女 
雇,户 ;隹 
辜,十 ;口 ;辛 
惧,忄 ;目 ;一 ;八 
讶,讠 ;牙 
协,十 ;力 ;八 
劫,土 ;厶 ;力 
叛,二 ;丨 ;丷 ;⺁ ;又 
堂,⺌ ;冖 ;口 ;土 
磨,麻 ;石 
艘,舟 ;臼 ;丨 ;又 
罪,罒 ;非 
犯,犭 ;乚 ;㇆ 
暴,日 ;艹 ;一 ;八 ;水 
牺,牛 ;西 
牲,牛 ;生 
愤,忄 ;十 ;艹 ;贝 
怒,女 ;又 ;心 
婴,No glyph available ;女 
塔,土 ;艹 ;人 ;一 ;口 
仰,亻 ;㇒ ;㇗ ;卩 
魔,麻 ;鬼 
孤,子 ;瓜 
惩,彳 ;一 ;止 ;心 
磅,石 ;亠 ;丷 ;冖 ;方 
诺,讠 ;艹 ;𠂇 ;口 
谍,讠 ;㇗ ;廿 ;木 
哼,口 ;亠 ;口 ;㇇ ;亅 
尴,尢 ;丨 ;丨 ;丿 ;一 ;丶 ;皿 
尬,尢 ;人 ;No glyph available 
抛,扌 ;丿 ;㇈ ;力 
揍,扌 ;一 ;二 ;丨 ;八 ;㇒ ;大 
擅,扌 ;亠 ;回 ;日 ;一 
钻,钅 ;⺊ ;口 
慈,丷 ;一 ;𢆶 ;心 
痕,疒 ;艮 
盟,日 ;月 ;皿 
审,宀 ;日 ;丨 
嫉,女 ;疒 ;矢 
妒,女 ;户 
姆,女 ;母 
赋,贝 ;一 ;弋 ;止 
栋,木 ;乚 ;一 ;小 
仪,亻 ;乂 ;丶 
混,氵 ;日 ;比 
癌,疒 ;品 ;山 
症,疒 ;一 ;止 
