simp	trad	hsk	pinyin	pinyin_tonemarks	pinyin_blocks	pinyin_tones	eng
然后	然后	3	ran2hou4	ránhòu	ran,hou	2,4	then; afterwards
一样	一樣	3	yi2yang4	yíyàng	yi,yang	2,4	the same; alike; equal to
当然	當然	3	dang1ran2	dāngrán	dang,ran	1,2	of course; naturally
相信	相信	3	xiang1xin4	xiāngxìn	xiang,xin	1,4	believe (sb.); be convinced of
认为	認為	3	ren4wei2	rènwéi	ren,wei	4,2	believe; think that
明白	明白	3	ming2bai5	míngbai	ming,bai	2,5	clear; obvious; understand; explicit
一直	一直	3	yi4zhi2	yìzhí	yi,zhi	4,2	always; all along; straight (in a straight line)
地	地	3	di4	dì	di	4	earth; ground
地	地	3	de5	de	de	5	(adverbial particle)
地方	地方	3	di4fang5	dìfang	di,fang	4,5	place; space; room; part, (fāng: local; regional)
离开	離開	3	li2kai1	líkāi	li,kai	2,1	leave; depart
一定	一定	3	yi2ding4	yídìng	yi,ding	2,4	surely; certainly; necessarily; definite
还是	還是	3	hai2shi5	háishi	hai,shi	2,5	or; still; nevertheless; had better
发	發	3	fa1	fā	fa	1	send out; to issue; to show (one's feelings)
发	發	3	fa4	fà	fa	4	hair
发现	發現	3	fa1xian4	fāxiàn	fa,xian	1,4	discover; to find
而且	而且	3	er2qie3	érqiě	er,qie	2,3	moreover; in addition; as well as
必须	必須	3	bi4xu1	bìxū	bi,xu	4,1	must; have to
放	放	3	fang4	fàng	fang	4	put; to place; to release; to free
为了	為了	3	wei4le5	wèile	wei,le	4,5	in order to; for the sake of; for the purpose of
向	向	3	xiang4	xiàng	xiang	4	direction; towards; to turn; to face
老	老	3	lao3	lǎo	lao	3	old; aged; tough; often (Kangxi radical 125)
位	位	3	wei4	wèi	wei	4	position; location; (polite mw for people)
先	先	3	xian1	xiān	xian	1	first; early; before
种	種	3	zhong3	zhǒng	zhong	3	type; breed; race; seed
种	種	3	zhong4	zhòng	zhong	4	to plant
最后	最后	3	zui4hou4	zuìhòu	zui,hou	4,4	last; final; ultimately
其他	其他	3	qi2ta1	qítā	qi,ta	2,1	other; else
记得	記得	3	ji4de5	jìde	ji,de	4,5	remember
或者	或者	3	huo4zhe3	huòzhě	huo,zhe	4,3	or; possible; maybe; perhaps
过去	過去	3	guo4qu4	guòqù	guo,qu	4,4	in the past; formerly
担心	擔心	3	dan1xin1	dānxīn	dan,xin	1,1	to worry; feel anxious
条	條	3	tiao2	tiáo	tiao	2	strip; (mw for long thin objects); item
以前	以前	3	yi3qian2	yǐqián	yi,qian	3,2	before; formerly; previous
世界	世界	3	shi4jie4	shìjiè	shi,jie	4,4	world
重要	重要	3	zhong4yao4	zhòngyào	zhong,yao	4,4	important; significant; major
别人	別人	3	bie2ren5	biéren	bie,ren	2,5	other people; others
机会	機會	3	ji1hui4	jīhuì	ji,hui	1,4	opportunity; chance; occasion
张	張	3	zhang1	zhāng	zhang	1	(mw for flat objects); to spread out; (common surname)
接	接	3	jie1	jiē	jie	1	connect; to meet; to pick up (somebody); to receive
比赛	比賽	3	bi3sai4	bǐsài	bi,sai	3,4	(sports) match; competition
关	關	3	guan1	guān	guan	1	to close; shut; concern; relationship; turn off; mountain pass
关系	關系	3	guan1xi5	guānxi	guan,xi	1,5	relation; to concern
马	馬	3	ma3	mǎ	ma	3	horse (Kangxi radical 187)
马上	馬上	3	ma3shang4	mǎshàng	ma,shang	3,4	at once; immediately; right away
决定	決定	3	jue2ding4	juédìng	jue,ding	2,4	decide; resolve
关于	關於	3	guan1yu2	guānyú	guan,yu	1,2	about; regarding; concerning
难	難	3	nan2	nán	nan	2	difficult
难	難	3	nan4	nàn	nan	4	trouble; to blame
了解	了解	3	liao3jie3	liǎojiě	liao,jie	3,3	comprehend; understand; know; find out
站	站	3	zhan4	zhàn	zhan	4	stand; a station; be on one's feet; service center
