simp	trad	hsk	pinyin	pinyin_tonemarks	pinyin_blocks	pinyin_tones	eng
屁股	屁股	6	pi4gu5	pìgu	pi,gu	4,5	butt; rear; rump
选手	選手	6	xuan3shou3	xuǎnshǒu	xuan,shou	3,3	athlete; contestant; player
投票	投票	6	tou2piao4	tóupiào	tou,piao	2,4	vote; poll
撒谎	撒謊	6	sa1 huang3	sā huǎng	sa,huang	1,3	to tell lies
武器	武器	6	wu3qi4	wǔqì	wu,qi	3,4	weapon; arms
发誓	發誓	6	fa1shi4	fāshì	fa,shi	1,4	to vow; to pledge; swear
心眼儿	心眼兒	6	xin1yan3r5	xīnyǎnr	xin,yan,r	1,3,5	one's thoughts; mind; intention; willingness to accept new ideas
意识	意識	6	yi4shi5	yìshi	yi,shi	4,5	realize; consciousness; awareness; sense
线索	線索	6	xian4suo3	xiànsuǒ	xian,suo	4,3	trail; clues; hints; thread (of a story)
砸	砸	6	za2	zá	za	2	to smash; to pound; to break; fail
失踪	失蹤	6	shi1 zong1	shī zōng	shi,zong	1,1	be missing; be unaccounted for
真相	真相	6	zhen1xiang4	zhēnxiàng	zhen,xiang	1,4	the actual facts; reality
恐怖	恐怖	6	kong3bu4	kǒngbù	kong,bu	3,4	afraid; terror
性感	性感	6	xing4gan3	xìnggǎn	xing,gan	4,3	sex appeal; sexy; sexuality
意味着	意味著	6	yi4wei4zhe5	yìwèizhe	yi,wei,zhe	4,4,5	signify; to mean; imply
交易	交易	6	jiao1yi4	jiāoyì	jiao,yi	1,4	business transaction; deal; trade
恶心	惡心	6	e3xin5	ěxin	e,xin	3,5	disgusting; nauseous; make somebody embarrassed (èxīn: bad/vicious habit; vice)
舞蹈	舞蹈	6	wu3dao3	wǔdǎo	wu,dao	3,3	a dance
副	副	6	fu4	fù	fu	4	vice-; secondary; auxiliary; deputy; assistant; classifier for pairs (i.e. glasses)
事件	事件	6	shi4jian4	shìjiàn	shi,jian	4,4	event; happening; incident
攻击	攻擊	6	gong1ji1	gōngjī	gong,ji	1,1	to attack; accuse; to charge
试图	試圖	6	shi4tu2	shìtú	shi,tu	4,2	to try; to attempt
淘汰	淘汰	6	tao2tai4	táotài	tao,tai	2,4	eliminate (in a competition); natural selection; die/phase out
子弹	子彈	6	zi3dan4	zǐdàn	zi,dan	3,4	bullet; cartridge
毒品	毒品	6	du2pin3	dúpǐn	du,pin	2,3	drugs; narcotics; poison
袭击	襲擊	6	xi2ji1	xíjī	xi,ji	2,1	surprise attack; to raid
灵魂	靈魂	6	ling2hun2	línghún	ling,hun	2,2	soul; spirit; conscience
爆炸	爆炸	6	bao4zha4	bàozhà	bao,zha	4,4	explode; explosion; blow up
玩意儿	玩意兒	6	wan2yi4r5	wányìr	wan,yi,r	2,4,5	thing; toy; gadget
盯	盯	6	ding1	dīng	ding	1	to stare; to gaze
愚蠢	愚蠢	6	yu2chun3	yúchǔn	yu,chun	2,3	silly; stupid
跟踪	跟蹤	6	gen1zong1	gēnzōng	gen,zong	1,1	follow somebody's tracks; tail; shadow
绑架	綁架	6	bang3jia4	bǎngjià	bang,jia	3,4	kidnap; stalking
客户	客戶	6	ke4hu4	kèhù	ke,hu	4,4	customer; account; client
将军	將軍	6	jiang1jun1	jiāngjūn	jiang,jun	1,1	a general (military officer)
州	州	6	zhou1	zhōu	zhou	1	province; sub-prefecture; (United States) state
毫无	毫無	6	hao2 wu2	háo wú	hao,wu	2,2	not at all; completely without; not in the least
逮捕	逮捕	6	dai4bu3	dàibǔ	dai,bu	4,3	to arrest; to capture
成员	成員	6	cheng2yuan2	chéngyuán	cheng,yuan	2,2	member
监视	監視	6	jian1shi4	jiānshì	jian,shi	1,4	oversee; to monitor
警告	警告	6	jing3gao4	jǐnggào	jing,gao	3,4	to warn; admonish
尝试	嘗試	6	chang2shi4	chángshì	chang,shi	2,4	to try; attempt
搭	搭	6	da1	dā	da	1	to erect; to build; travel by (car, plane, etc.); to hang; to join
搭档	搭檔	6	da1dang4	dādàng	da,dang	1,4	team up; cooperate; work together
对付	對付	6	dui4fu5	duìfu	dui,fu	4,5	to handle; deal with
荣幸	榮幸	6	rong2xing4	róngxìng	rong,xing	2,4	honored
队伍	隊伍	6	dui4wu5	duìwu	dui,wu	4,5	ranks; troops
同志	同志	6	tong2zhi4	tóngzhì	tong,zhi	2,4	comrade; gay (slang)
偶像	偶像	6	ou3xiang4	ǒuxiàng	ou,xiang	3,4	Idol
军队	軍隊	6	jun1dui4	jūnduì	jun,dui	1,4	army troops
侦探	偵探	6	zhen1tan4	zhēntàn	zhen,tan	1,4	detective
确保	確保	6	que4bao3	quèbǎo	que,bao	4,3	ensure; guarantee
耍	耍	6	shua3	shuǎ	shua	3	play/mess around with; juggle
战斗	戰斗	6	zhan4dou4	zhàndòu	zhan,dou	4,4	to fight; to battle; to struggle
展示	展示	6	zhan3shi4	zhǎnshì	zhan,shi	3,4	open up; reveal; to display
进展	進展	6	jin4zhan3	jìnzhǎn	jin,zhan	4,3	make progress; development; make headway
乐意	樂意	6	le4yi4	lèyì	le,yi	4,4	be happy/willing do something; content; satisfied
丢三落四	丟三落四	6	diu1san1 la4si4	diūsān làsì	diu,san,la,si	1,1,4,4	forgetful; scatterbrained
解雇	解雇	6	jie3gu4	jiěgù	jie,gu	3,4	fire; lay off; dismiss from
时光	時光	6	shi2guang1	shíguāng	shi,guang	2,1	time; era; period of time
无辜	無辜	6	wu2gu1	wúgū	wu,gu	2,1	innocent
恐惧	恐懼	6	kong3ju4	kǒngjù	kong,ju	3,4	fear; dread; phobia
惊讶	驚訝	6	jing1ya4	jīngyà	jing,ya	1,4	surprised; astonished; astound
事业	事業	6	shi4ye4	shìyè	shi,ye	4,4	undertaking; project; cause; enterprise
不可思议	不可思議	6	bu4ke3si1yi4	bùkěsīyì	bu,ke,si,yi	4,3,1,4	unimaginable; inconceivable
案件	案件	6	an4jian4	ànjiàn	an,jian	4,4	legal case; judicial case
档案	檔案	6	dang4an4	dàngàn	dang,an	4,4	file; record; archive
协议	協議	6	xie2yi4	xiéyì	xie,yi	2,4	agreement; pact; protocol
抢劫	搶劫	6	qiang3jie2	qiǎngjié	qiang,jie	3,2	rob; looting
代价	代價	6	dai4jia4	dàijià	dai,jia	4,4	price; cost; expense
背叛	背叛	6	bei4pan4	bèipàn	bei,pan	4,4	betray; forsake
天堂	天堂	6	tian1tang2	tiāntáng	tian,tang	1,2	paradise; heaven
释放	釋放	6	shi4fang4	shìfàng	shi,fang	4,4	release; set free; liberate (a prisoner)
执行	執行	6	zhi2xing2	zhíxíng	zhi,xing	2,2	implementation; carry out; execute
报警	報警	6	bao4jing3	bàojǐng	bao,jing	4,3	report (an incident) to the police
折	折	6	zhe2	zhé	zhe	2	to break; to fracture; convert into; to fold
折	折	6	she2	shé	she	2	lose money
折	折	6	zhe1	zhē	zhe	1	turn/roll over
折磨	折磨	6	zhe2mo2	zhémó	zhe,mo	2,2	persecute; to torture
卷	卷	6	juan3	juǎn	juan	3	to roll (up); to coil; (mw for tapes)
卷	卷	6	juan4	juàn	juan	4	rolled document; file
艘	艘	6	sou1	sōu	sou	1	(mw for boats and ships)
罪犯	罪犯	6	zui4fan4	zuìfàn	zui,fan	4,4	criminal
情报	情報	6	qing2bao4	qíngbào	qing,bao	2,4	intelligence; information-gathering
刺	刺	6	ci4	cì	ci	4	thorn; to sting; to prick; pierce; stab
暴力	暴力	6	bao4li4	bàolì	bao,li	4,4	violence; (use) force
事故	事故	6	shi4gu4	shìgù	shi,gu	4,4	accident
神经	神經	6	shen2jing1	shénjīng	shen,jing	2,1	nerve
牺牲	犧牲	6	xi1sheng1	xīshēng	xi,sheng	1,1	sacrifice (one's life, etc.)
愤怒	憤怒	6	fen4nu4	fènnù	fen,nu	4,4	angry; indignant; furious; anger; indignation; wrath; ire
婴儿	嬰兒	6	ying1er2	yīngér	ying,er	1,2	baby infant
塔	塔	6	ta3	tǎ	ta	3	pagoda; tower
信仰	信仰	6	xin4yang3	xìnyǎng	xin,yang	4,3	firm belief; faith; believe in (a religion)
魔鬼	魔鬼	6	mo2gui3	móguǐ	mo,gui	2,3	devil; demon; monster
孤独	孤獨	6	gu1du2	gūdú	gu,du	1,2	lonely; solitary
惩罚	懲罰	6	cheng2fa2	chéngfá	cheng,fa	2,2	penalty; punishment; to punish; to penalize
神奇	神奇	6	shen2qi2	shénqí	shen,qi	2,2	miraculous; magical; mystical
磅	磅	6	bang4	bàng	bang	4	pound; weigh; scale
承诺	承諾	6	cheng2nuo4	chéngnuò	cheng,nuo	2,4	to promise; to undertake
间谍	間諜	6	jian4die2	jiàndié	jian,die	4,2	a spy; intelligence agent
确信	確信	6	que4xin4	quèxìn	que,xin	4,4	confident; be certain of; to firmly believe
哼	哼	6	heng1	hēng	heng	1	groan; snort; to hum; croon
尴尬	尷尬	6	gan1ga4	gāngà	gan,ga	1,4	awkward; embarrassed
生物	生物	6	sheng1wu4	shēngwù	sheng,wu	1,4	organism; living creature; life form
能量	能量	6	neng2liang4	néngliàng	neng,liang	2,4	energy; capabilities
清醒	清醒	6	qing1xing3	qīngxǐng	qing,xing	1,3	clear-headed; sober; regain consciousness
指望	指望	6	zhi3wang4	zhǐwàng	zhi,wang	3,4	hope for; count on; hope
染	染	6	ran3	rǎn	ran	3	dye; to catch (a disease)
感染	感染	6	gan3ran3	gǎnrǎn	gan,ran	3,3	infection; infect; influence
抛弃	拋棄	6	pao1qi4	pāoqì	pao,qi	1,4	discard; abandon; dump (sb)
美妙	美妙	6	mei3miao4	měimiào	mei,miao	3,4	beautiful (when describing a work of art); wonderful; splendid
揍	揍	6	zou4	zòu	zou	4	(informal) beat; hit; (regional) smash; break
擅长	擅長	6	shan4chang2	shàncháng	shan,chang	4,2	be good at; be expert in
忍受	忍受	6	ren3shou4	rěnshòu	ren,shou	3,4	to bear; endure; tolerate
动手	動手	6	dong4shou3	dòngshǒu	dong,shou	4,3	get to work; to touch; strike a blow
清理	清理	6	qing1li3	qīnglǐ	qing,li	1,3	cleanup; put in order; check up
完毕	完畢	6	wan2bi4	wánbì	wan,bi	2,4	finish; end; complete
机构	機構	6	ji1gou4	jīgòu	ji,gou	1,4	structure; organization; institution
即将	即將	6	ji2jiang1	jíjiāng	ji,jiang	2,1	will shortly; soon; be on the verge of
钻石	鑽石	6	zuan4shi2	zuànshí	zuan,shi	4,2	diamond
艰难	艱難	6	jian1nan2	jiānnán	jian,nan	1,2	difficult; arduous
坦白	坦白	6	tan3bai2	tǎnbái	tan,bai	3,2	honest; forthcoming; to confess
慈善	慈善	6	ci2shan4	císhàn	ci,shan	2,4	philanthropic; benevolent; charitable
痕迹	痕跡	6	hen2ji4	hénjì	hen,ji	2,4	vestige; trace
区域	區域	6	qu1yu4	qūyù	qu,yu	1,4	area; region; district
镜头	鏡頭	6	jing4tou2	jìngtóu	jing,tou	4,2	camera shot (in a movie, etc.); scene; camera lens
联盟	聯盟	6	lian2meng2	liánméng	lian,meng	2,2	alliance; union; coalition
审判	審判	6	shen3pan4	shěnpàn	shen,pan	3,4	put (someone) to trial; to try somebody
基地	基地	6	ji1di4	jīdì	ji,di	1,4	base (of operations)
嫉妒	嫉妒	6	ji2du4	jídù	ji,du	2,4	to be jealous; to envy, covet; to hate; to begrudge
摇滚	搖滾	6	yao2gun3	yáogǔn	yao,gun	2,3	rock and roll
保姆	保姆	6	bao3mu3	bǎomǔ	bao,mu	3,3	nanny; housekeeper
打架	打架	6	da3 jia4	dǎ jià	da,jia	3,4	to fight; scuffle; to come to blows
天赋	天賦	6	tian1fu4	tiānfù	tian,fu	1,4	natural talent
打击	打擊	6	da3ji1	dǎjī	da,ji	3,1	to strike; to hit; to attack
类似	類似	6	lei4si4	lèisì	lei,si	4,4	similar; analogous
激情	激情	6	ji1qing2	jīqíng	ji,qing	1,2	passion; strong emotion; fervor; enthusiasm
注射	注射	6	zhu4she4	zhùshè	zhu,she	4,4	injection; inject (medicine)
转移	轉移	6	zhuan3yi2	zhuǎnyí	zhuan,yi	3,2	to shift; divert; migrate
摆脱	擺脫	6	bai3tuo1	bǎituō	bai,tuo	3,1	break away; free oneself from; cast off
助手	助手	6	zhu4shou3	zhùshǒu	zhu,shou	4,3	assistant; helper
保密	保密	6	bao3 mi4	bǎo mì	bao,mi	3,4	keep secret/confidential
栋	棟	6	dong4	dòng	dong	4	roof beam; (mw for buildings)
迷人	迷人	6	mi2ren2	mírén	mi,ren	2,2	charming; enchanting; cute
除	除	6	chu2	chú	chu	2	besides; except; remove; to divide (mathematics)
开除	開除	6	kai1chu2	kāichú	kai,chu	1,2	expel; to discharge; to kick out
仪式	儀式	6	yi2shi4	yíshì	yi,shi	2,4	ceremony
混乱	混亂	6	hun4luan4	hùnluàn	hun,luan	4,4	confusion; chaotic
联络	聯絡	6	lian2luo4	liánluò	lian,luo	2,4	communication; to contact
癌症	癌症	6	ai2zheng4	áizhèng	ai,zheng	2,4	cancer
剑	劍	6	jian4	jiàn	jian	4	sword
天才	天才	6	tian1cai2	tiāncái	tian,cai	1,2	talent; gift; a genius; talented
发射	發射	6	fa1she4	fāshè	fa,she	1,4	to launch; to shoot (a projectile); to fire (a rocket)
生存	生存	6	sheng1cun2	shēngcún	sheng,cun	1,2	exist; survive
结局	結局	6	jie2ju2	jiéjú	jie,ju	2,2	conclusion; ending
非法	非法	6	fei1fa3	fēifǎ	fei,fa	1,3	illegal
人家	人家	6	ren2jia1	rénjiā	ren,jia	2,1	other people; others; they; I; family; household
动机	動機	6	dong4ji1	dòngjī	dong,ji	4,1	motive; motivation; intention
欺骗	欺騙	6	qi1pian4	qīpiàn	qi,pian	1,4	deceive; to cheat; to dupe
并非	並非	6	bing4fei1	bìngfēi	bing,fei	4,1	really isn't
人质	人質	6	ren2zhi4	rénzhì	ren,zhi	2,4	hostage
扮演	扮演	6	ban4yan3	bànyǎn	ban,yan	4,3	play the part of; act
宇宙	宇宙	6	yu3zhou4	yǔzhòu	yu,zhou	3,4	universe; cosmos
剧本	劇本	6	ju4ben3	jùběn	ju,ben	4,3	script for a play; opera; movie; etc
证实	証實	6	zheng4shi2	zhèngshí	zheng,shi	4,2	confirm; verify
被告	被告	6	bei4gao4	bèigào	bei,gao	4,4	defendant
扣	扣	6	kou4	kòu	kou	4	to fasten; to button; button; buckle; knot; to arrest; to confiscate; to deduct (money); discount; to knock; put upside down; to smash or spike (a ball); to cover (with a bowl etc); fig. to tag a label on sb
时机	時機	6	shi2ji1	shíjī	shi,ji	2,1	opportune time; opportunity
辩护	辯護	6	bian4hu4	biànhù	bian,hu	4,4	speak in defense of; argue in favor of; defend
起码	起碼	6	qi3ma3	qǐmǎ	qi,ma	3,3	at the minimum; at the very least
隐瞒	隱瞞	6	yin3man2	yǐnmán	yin,man	3,2	conceal; hide; (a taboo subject); cover up
宁愿	寧願	6	ning4yuan4	nìngyuàn	ning,yuan	4,4	would rather; better
社区	社區	6	she4qu1	shèqū	she,qu	4,1	community
助理	助理	6	zhu4li3	zhùlǐ	zhu,li	4,3	assistant
渴望	渴望	6	ke3wang4	kěwàng	ke,wang	3,4	to thirst for; to long for; to yearn for
溜	溜	6	liu1	liū	liu	1	slip away; to skate; to glide
太空	太空	6	tai4kong1	tàikōng	tai,kong	4,1	outer space
毁灭	毀滅	6	hui3mie4	huǐmiè	hui,mie	3,4	perish; ruin; destroy
眼神	眼神	6	yan3shen2	yǎnshén	yan,shen	3,2	expression or emotion showing in one's eyes
古怪	古怪	6	gu3guai4	gǔguài	gu,guai	3,4	eccentric; grotesque; oddly
进攻	進攻	6	jin4gong1	jìngōng	jin,gong	4,1	attack (military); assault
报复	報復	6	bao4fu5	bàofu	bao,fu	4,5	retaliate; revenge
荒谬	荒謬	6	huang1miu4	huāngmiù	huang,miu	1,4	ridiculous; nonsensical
拨	撥	6	bo1	bō	bo	1	to dial; move with a hand/foot; stir; poke; allocate (money)
卫星	衛星	6	wei4xing1	wèixīng	wei,xing	4,1	satellite
期望	期望	6	qi1wang4	qīwàng	qi,wang	1,4	hope; expectation
嘲笑	嘲笑	6	chao2xiao4	cháoxiào	chao,xiao	2,4	jeer; mock; scoff
冒犯	冒犯	6	mao4fan4	màofàn	mao,fan	4,4	to offend
娃娃	娃娃	6	wa2wa5	wáwa	wa,wa	2,5	baby; child; doll
达成	達成	6	da2 cheng2	dá chéng	da,cheng	2,2	to reach (an agreement); achieve
夫妇	夫婦	6	fu1fu4	fūfù	fu,fu	1,4	married couple; husband and wife
新娘	新娘	6	xin1niang2	xīnniáng	xin,niang	1,2	bride
竞选	競選	6	jing4xuan3	jìngxuǎn	jing,xuan	4,3	run for (electoral) office; take part in an election
亲密	親密	6	qin1mi4	qīnmì	qin,mi	1,4	intimate; close; familiarity
割	割	6	ge1	gē	ge	1	to cut (apart/off)
制服	制服	6	zhi4fu2	zhìfú	zhi,fu	4,2	uniform; to subdue; to bring under control
直播	直播	6	zhi2bo1	zhíbō	zhi,bo	2,1	live broadcast (not recorded)
崩溃	崩潰	6	beng1kui4	bēngkuì	beng,kui	1,4	collapse; crumble; fall apart
宗教	宗教	6	zong1jiao4	zōngjiào	zong,jiao	1,4	religion
乘	乘	6	cheng2	chéng	cheng	2	to ride; to mount; make use of; multiply
陷入	陷入	6	xian4ru4	xiànrù	xian,ru	4,4	sink into; get caught up in; land in (a predicament)
回报	回報	6	hui2bao4	huíbào	hui,bao	2,4	repayment; payback
试验	試驗	6	shi4yan4	shìyàn	shi,yan	4,4	experiment; test
异常	異常	6	yi4chang2	yìcháng	yi,chang	4,2	exceptional; abnormal
疾病	疾病	6	ji2bing4	jíbìng	ji,bing	2,4	disease; illness; sickness; ailment
展现	展現	6	zhan3xian4	zhǎnxiàn	zhan,xian	3,4	come out; emerge; express; show
强迫	強迫	6	qiang3po4	qiǎngpò	qiang,po	3,4	compel; to force
暗示	暗示	6	an4shi4	ànshì	an,shi	4,4	drop a hint; suggest
当事人	當事人	6	dang1shi4ren2	dāngshìrén	dang,shi,ren	1,4,2	persons involved or implicated; party (to an affair)
绝望	絕望	6	jue2 wang4	jué wàng	jue,wang	2,4	desperation; forlorn; hopeless
沮丧	沮喪	6	ju3sang4	jǔsàng	ju,sang	3,4	dejected; depressed; dispirited
灾难	災難	6	zai1nan4	zāinàn	zai,nan	1,4	disaster; catastrophe
正义	正義	6	zheng4yi4	zhèngyì	zheng,yi	4,4	justice; righteous
荣誉	榮譽	6	rong2yu4	róngyù	rong,yu	2,4	honor; glory
技巧	技巧	6	ji4qiao3	jìqiǎo	ji,qiao	4,3	skill; technique
提议	提議	6	ti2yi4	tíyì	ti,yi	2,4	propose; suggest
中央	中央	6	zhong1yang1	zhōngyāng	zhong,yang	1,1	central; middle; center
即便	即便	6	ji2bian4	jíbiàn	ji,bian	2,4	even if; even though
机密	機密	6	ji1mi4	jīmì	ji,mi	1,4	secret; classified (information)
忠诚	忠誠	6	zhong1cheng2	zhōngchéng	zhong,cheng	1,2	honest; loyalty; devoted
走廊	走廊	6	zou3lang2	zǒuláng	zou,lang	3,2	corridor; hallway
症状	症狀	6	zheng4zhuang4	zhèngzhuàng	zheng,zhuang	4,4	symptom (of an illness)
当初	當初	6	dang1chu1	dāngchū	dang,chu	1,1	at that time; at the outset; originally
系列	系列	6	xi4lie4	xìliè	xi,lie	4,4	series
保重	保重	6	bao3zhong4	bǎozhòng	bao,zhong	3,4	take care (of oneself)
震惊	震驚	6	zhen4jing1	zhènjīng	zhen,jing	4,1	shock; astonish; amaze
反抗	反抗	6	fan3kang4	fǎnkàng	fan,kang	3,4	resist; to revolt
心灵	心靈	6	xin1ling2	xīnlíng	xin,ling	1,2	heart; soul; smart; quick-witted
掩护	掩護	6	yan3hu4	yǎnhù	yan,hu	3,4	cover; shield; screen
活力	活力	6	huo2li4	huólì	huo,li	2,4	energy; vitality; vigor
天生	天生	6	tian1sheng1	tiānshēng	tian,sheng	1,1	innate; inherent; natural
枚	枚	6	mei2	méi	mei	2	(mw for coins, rings, medals)
不止	不止	6	bu4zhi3	bùzhǐ	bu,zhi	4,3	incessantly; more than
顾问	顧問	6	gu4wen4	gùwèn	gu,wen	4,4	adviser; consultant
障碍	障礙	6	zhang4ai4	zhàngài	zhang,ai	4,4	barrier; obstacle
危机	危機	6	wei1ji1	wēijī	wei,ji	1,1	crisis
维持	維持	6	wei2chi2	wéichí	wei,chi	2,2	maintain; preserve
保守	保守	6	bao3shou3	bǎoshǒu	bao,shou	3,3	conservative (ideas, estimates, politically, etc.); to guard; to keep
主管	主管	6	zhu3guan3	zhǔguǎn	zhu,guan	3,3	person in charge of (a position, etc.); preside over; Chief Operating Officer (COO)
主义	主義	6	zhu3yi4	zhǔyì	zhu,yi	3,4	-ism; ideology
罐	罐	6	guan4	guàn	guan	4	can; jar; pot; pitcher; jug
视频	視頻	6	shi4pin2	shìpín	shi,pin	4,2	video
治安	治安	6	zhi4an1	zhìān	zhi,an	4,1	law and order; public security
标记	標記	6	biao1ji4	biāojì	biao,ji	1,4	sign; mark; symbol
出卖	出賣	6	chu1mai4	chūmài	chu,mai	1,4	sell; betray; sell out
昏迷	昏迷	6	hun1mi2	hūnmí	hun,mi	1,2	lose consciousness; be in a coma
凌晨	凌晨	6	ling2chen2	língchén	ling,chen	2,2	early in the morning
侮辱	侮辱	6	wu3ru3	wǔrǔ	wu,ru	3,3	to insult; humiliate
暴露	暴露	6	bao4lu4	bàolù	bao,lu	4,4	expose; reveal; lay bare
绅士	紳士	6	shen1shi4	shēnshì	shen,shi	1,4	gentleman
公民	公民	6	gong1min2	gōngmín	gong,min	1,2	citizen
残忍	殘忍	6	can2ren3	cánrěn	can,ren	2,3	brutal; bloody; merciless
造型	造型	6	zao4xing2	zàoxíng	zao,xing	4,2	make a model; to mold
迹象	跡象	6	ji4xiang4	jìxiàng	ji,xiang	4,4	mark; indication; sign
神圣	神聖	6	shen2sheng4	shénshèng	shen,sheng	2,4	divine; holy; sacred
航空	航空	6	hang2kong1	hángkōng	hang,kong	2,1	aviation
仓库	倉庫	6	cang1ku4	cāngkù	cang,ku	1,4	depot; storehouse; warehouse
码头	碼頭	6	ma3tou5	mǎtou	ma,tou	3,5	dock; wharf
本人	本人	6	ben3ren2	běnrén	ben,ren	3,2	I; me; myself; oneself; in person
大不了	大不了	6	da4bu5liao3	dàbuliǎo	da,bu,liao	4,5,3	at the worst; if worst comes to worst; serious, alarming
补偿	補償	6	bu3chang2	bǔcháng	bu,chang	3,2	compensation; make up
冲动	沖動	6	chong1dong4	chōngdòng	chong,dong	1,4	impulsive; act on impulse
演奏	演奏	6	yan3zou4	yǎnzòu	yan,zou	3,4	give an instrumental performance
对抗	對抗	6	dui4kang4	duìkàng	dui,kang	4,4	withstand; resist; antagonize
城堡	城堡	6	cheng2bao3	chéngbǎo	cheng,bao	2,3	castle
本身	本身	6	ben3shen1	běnshēn	ben,shen	3,1	itself; in itself; per se
按摩	按摩	6	an4mo2	ànmó	an,mo	4,2	massage
熬	熬	6	ao2	áo	ao	2	endure; to boil
奴隶	奴隸	6	nu2li4	núlì	nu,li	2,4	slave
在意	在意	6	zai4 yi4	zài yì	zai,yi	4,4	care about; mind; care
拜访	拜訪	6	bai4fang3	bàifǎng	bai,fang	4,3	pay a visit; call on
奖励	獎勵	6	jiang3li4	jiǎnglì	jiang,li	3,4	to reward (as encouragement)
膝盖	膝蓋	6	xi1gai4	xīgài	xi,gai	1,4	knee
引擎	引擎	6	yin3qing2	yǐnqíng	yin,qing	3,2	engine
宰	宰	6	zai3	zǎi	zai	3	slaughter; butcher; govern; rule; imperial official in dynastic China
贼	賊	6	zei2	zéi	zei	2	thief
种族	種族	6	zhong3zu2	zhǒngzú	zhong,zu	3,2	race; ethnicity
舌头	舌頭	6	she2tou5	shétou	she,tou	2,5	tongue
消灭	消滅	6	xiao1mie4	xiāomiè	xiao,mie	1,4	eliminate; perish; wipe out
乐趣	樂趣	6	le4qu4	lèqù	le,qu	4,4	delight; pleasure; joy; fun
虐待	虐待	6	nve4dai4	nüèdài	nüe,dai	4,4	to abuse; maltreat; tyrannize
舔	舔	6	tian3	tiǎn	tian	3	to lick
薪水	薪水	6	xin1shui3	xīnshuǐ	xin,shui	1,3	salary; wage; pay; stipend
理智	理智	6	li3zhi4	lǐzhì	li,zhi	3,4	reason; intellect; rational
诉讼	訴訟	6	su4song4	sùsòng	su,song	4,4	lawsuit
封锁	封鎖	6	feng1suo3	fēngsuǒ	feng,suo	1,3	to block off; to seal off; cordon off; blockade
基因	基因	6	ji1yin1	jīyīn	ji,yin	1,1	gene
职位	職位	6	zhi2wei4	zhíwèi	zhi,wei	2,4	(professional) position
可恶	可惡	6	ke3wu4	kěwù	ke,wu	3,4	hateful; abominable; repulsive
确切	確切	6	que4qie4	quèqiè	que,qie	4,4	definite; exact; precise
支援	支援	6	zhi1yuan2	zhīyuán	zhi,yuan	1,2	to support; assist; aid
扎	扎	6	zha1	zhā	zha	1	to prick; push a needle into; penetrating
扎	扎	6	za1	zā	za	1	to tie
扎	扎	6	zha2	zhá	zha	2	to struggle
压制	壓制	6	ya1zhi4	yāzhì	ya,zhi	1,4	suppress; inhibit; stifle
排练	排練	6	pai2lian4	páiliàn	pai,lian	2,4	to rehearse
评论	評論	6	ping2lun4	pínglùn	ping,lun	2,4	comment on; discuss; remark
基金	基金	6	ji1jin1	jījīn	ji,jin	1,1	fund; endowment
投降	投降	6	tou2xiang2	tóuxiáng	tou,xiang	2,2	to surrender
灵感	靈感	6	ling2gan3	línggǎn	ling,gan	2,3	inspiration; insight; a burst of creativity in scientific or artistic endeavor
漫画	漫畫	6	man4hua4	mànhuà	man,hua	4,4	comics; manga
预言	預言	6	yu4yan2	yùyán	yu,yan	4,2	predict; prophecy
角落	角落	6	jiao3luo4	jiǎoluò	jiao,luo	3,4	corner; nook
策略	策略	6	ce4lve4	cèlüè	ce,lüe	4,4	tactics; plot
领先	領先	6	ling3xian1	lǐngxiān	ling,xian	3,1	leadership; to lead; be in front
装备	裝備	6	zhuang1bei4	zhuāngbèi	zhuang,bei	1,4	equipment; to equip; to outfit
流氓	流氓	6	liu2mang2	liúmáng	liu,mang	2,2	rogue; hooligan; gangster
声明	聲明	6	sheng1ming2	shēngmíng	sheng,ming	1,2	statement; declare; proclaim
排除	排除	6	pai2chu2	páichú	pai,chu	2,2	eliminate; get rid of; remove
成交	成交	6	cheng2jiao1	chéngjiāo	cheng,jiao	2,1	complete a contract; clinch a deal; to seal
皇后	皇后	6	huang2hou4	huánghòu	huang,hou	2,4	an empress
消防	消防	6	xiao1fang2	xiāofáng	xiao,fang	1,2	fire-fighting; fire prevention and control
吼	吼	6	hou3	hǒu	hou	3	roar; howl
发动	發動	6	fa1dong4	fādòng	fa,dong	1,4	to start; to launch; mobilize
集团	集團	6	ji2tuan2	jítuán	ji,tuan	2,2	group; bloc; circle; clique
协助	協助	6	xie2zhu4	xiézhù	xie,zhu	2,4	assist; to help
动力	動力	6	dong4li4	dònglì	dong,li	4,4	power; motion; impetus; driving force
阴谋	陰謀	6	yin1mou2	yīnmóu	yin,mou	1,2	a plot; a conspiracy
性命	性命	6	xing4ming4	xìngmìng	xing,ming	4,4	life
协会	協會	6	xie2hui4	xiéhuì	xie,hui	2,4	an association; a society
喉咙	喉嚨	6	hou2long2	hóulóng	hou,long	2,2	throat; larynx
爆发	爆發	6	bao4fa1	bàofā	bao,fa	4,1	break out; erupt; explode
陷害	陷害	6	xian4hai4	xiànhài	xian,hai	4,4	cast blame on; to frame
瞄准	瞄准	6	miao2zhun3	miáozhǔn	miao,zhun	2,3	take aim (a weapon at a target)
随意	隨意	6	sui2yi4	suíyì	sui,yi	2,4	as one wishes; according to one's wishes
荒唐	荒唐	6	huang1tang5	huāngtang	huang,tang	1,5	beyond belief; preposterous; absurd; intemperate
