char_id,char,pinyin,eng,formula,words
318,将,jiang1,going to,317a+69a+104a,
319,东,dong1,east,,
320,乐,yue4,music,,
321a,⺮,,bamboo,,
321,算,suan4,reckon,321a+93+85a,
322a,?,,sequence,,
322,第,di4,number,321a+322a,
323,弟,di4,younger brother,65a+322a,
324a,?,,glowing,218a+82a,
324,劳,lao2,toil,218a+82a+14,
325,加,jia1,add,14+5,
326,驾,jia4,drive vehicle,325+44,
327,咖,ka1,coffee,5+325,
328,非,fei1,un-,,
329,啡,fei1,coffee,5+328,
330,排,pai2,line,152a+328,
331,反,fan3,oppose,150a+52,
332,饭,fan4,meal,288a+331,
333,板,ban3,board,10a+331,
334,米,mi3,rice,65a+10a,
335,青,qing1,blue-green,133a+61,
336,请,qing3,please,67c+335,
337,清,qing1,transparent,78a+335,
338,晴,qing2,fine weather,6+335,
339a,忄,,heart,,
339,情,qing2,state of affairs,339a+335,
340,睛,jing1,pupil of eye,93+335,
341,精,jing1,splendid,334+335,
342a,?,,gazebo,239a+82a,
342,亮,liang4,shining,239a+82a+7,
343a,亭,ting2,pavilion,342a+81b,
343,停,ting2,halt,13a+343a,
344,单,dan1,single,65a+156a+4,
345,间,jian1,room,27+6,
346,简,jian3,simple,321a+345,
347,合,he2,join together,59a+5,
348,拿,na2,using,347+31,
349,拾,shi2,pick up,152a+347,
350,哈,ha1,laugh,5+347,
351,给,gei3,for,233a+347,
352,答,da2,answer,321a+347,
353,片,pian4,slice,,
354a,丩,,entangle,,
354,叫,jiao4,call,5+354a,
355,收,shou1,accept,354a+190a,
356a,卑,bei1,inferior,,
356,啤,pi2,beer,5+356a,
357a,井,jing3,a well,,
357,讲,jiang3,talk,67c+357a,
358,进,jin4,proceed,26a+357a,
359,改,gai3,alter,271+190a,
360a,冫,,ice,,
360,况,kuang4,situation,360a+67a,
361a,欠,qian4,lacking,51a+12,
361,次,ci4,times,360a+361a,
362,吹,chui1,puff,5+361a,
363,欢,huan1,joyful,52+361a,
364,久,jiu3,long time,,
365a,爪,zhao3;zhua3,claw,,
365b,爫,,claw,89a+82b,
365c,?,,hand down,365b+82a,
365,爱,ai4,love,365b+82a+53,
366,暖,nuan3,warm,6+365,
367,父,fu4,father,20+25a,
368a,巴,ba1,wait for,,
368,吧,ba,suggestion,5+368a,
369,把,ba3,handle,152a+368a,
370,爸,ba4,dad,368a+367,
371,爬,pa2,climb,365a+368a,
372,关,guan1,switch off,65a+76,
373,送,song4,deliver,26a+372,
374,联,lian2,connect,88a+372,
375,言,yan2,words,25b+2+5,
376,信,xin4,letter,13a+375,
377,少,shao3,few,50+34b,
378,步,bu4,step,29a+377,
379,省,sheng3,province,377+93,
380,交,jiao1,pay,25b+367,
381,饺,jiao3,dumpling,288a+380,
382,较,jiao4,comparison,83+380,
383,校,xiao4,school,10a+380,
384,牛,niu2,cow,124a+130a,
385,件,jian4,number of things,13a+384,
386,哥,ge1,older brother,140+140,
387,歌,ge1,song,386+361a,
388a,?,,haul up,82b+1,
388,应,ying1,should,170+82b+1,
389a,?,,skylight,160a+5,
389,向,xiang4,towards,22a+160a+5,
390,响,xiang3,noisy,5+389,
391,化,hua4,to change,13a+37,
392,花,hua1,flower,218a+391,
393,历,li4,experience,149+14,
394,旧,jiu4,outdated,19a+6,
395,业,ye4,industry,,
396a,亚,ya4,asia,1+395,
396b,並,,stand side by side,65a+396a,
396,碰,peng4,bump into,115a+396b,
397,史,shi3,history,,
398a,吏,,an official,13a+398a,
398,使,shi3,use,13a+398a,
399,更,geng4,even more,,
400,便,pian2;bian4,advantageous;convinient,13a+399,
401a,央,yang1,center,,
401,英,ying1,hero,218a+401a,
402a,夬,,to separate,,
402,块,kuai4,lump,54a+402a,
403,快,kuai4,quick,339a+402a,
404,决,jue2,decide,360a+402a,
405,觉,jue2;jiao4,feel;sleep,82c+214,
406,定,ding4,decide on,91a+30b,
407,重,zhong4,heavy,89+157,
408a,董,dong3,director,218a+407,
408,懂,dong3,understand,339a+408a,
409a,垂,chui2,droop,,
409,睡,shui4,sleep,93+409a,
